AppID,Name,Number of languages,Languages
924670,Need for Spirit: Drink & Drive Simulator/é†‰é©¾æ¨¡æ‹Ÿå™¨,5.0,"['English', 'Russian', 'SimplifiedChinese', 'Spanish-LatinAmerica', 'TraditionalChinese']"
763230,Fruity Smoothie,1.0,['English']
957070,iB Cricket,1.0,['English']
1095120,Helheim Hassle,8.0,"['English', 'German', 'Norwegian', 'Russian', 'SimplifiedChinese', 'French', 'Turkish', 'Spanish-Spain']"
839770,Phoenix Point,8.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Polish', 'Russian', 'SimplifiedChinese']"
1874660,æµ®ç”Ÿç®“ Floating Life,2.0,"['SimplifiedChinese', 'TraditionalChinese']"
562640,Introvert Quest,1.0,['English']
360840,Lumini,9.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Russian', 'Portuguese-Brazil', 'Dutch', 'Swedish']"
1030840,Mafia: Definitive Edition,14.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Czech', 'Japanese', 'Korean', 'Polish', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'Spanish-LatinAmerica', 'TraditionalChinese']"
368730,No Time To Explain Remastered,1.0,['English']
572620,Pierhead Arcade 2,9.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Japanese', 'Polish', 'Russian', 'SimplifiedChinese']"
318260,Supreme: Pizza Empire,1.0,['English']
821880,Idol Manager,5.0,"['English', 'Japanese', 'Russian', 'SimplifiedChinese', 'Portuguese-Brazil']"
780210,Freeways,1.0,['English']
451600,CounterAttack,2.0,"['English', 'Japanese']"
485980,Syrian Warfare,4.0,"['English', 'Russian', 'German', 'SimplifiedChinese']"
679400,Relik,1.0,['English']
1389360,Mech Armada,9.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Japanese', 'Korean', 'SimplifiedChinese', 'Spanish-LatinAmerica']"
587580,Nature Treks VR,1.0,['English']
294440,Shadowgate,5.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain']"
269250,WORLD END ECONOMiCA episode.01,1.0,['English']
1127500,Mini Motorways,14.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Arabic', 'Dutch', 'Japanese', 'Korean', 'Portuguese-Brazil', 'Russian', 'SimplifiedChinese', 'TraditionalChinese', 'Turkish']"
656740,Cosmonator,1.0,['English']
783840,Lakeview Valley,3.0,"['English', 'Russian', 'SimplifiedChinese']"
1696810,RAILROADS Online!,10.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'SimplifiedChinese', 'Japanese', 'Polish', 'Portuguese', 'Russian']"
1138580,Farmington County: The Ultimate Farming Tycoon Simulator,1.0,['English']
404530,Voxel Turf,1.0,['English']
1921760,Pocket Academy,6.0,"['English', 'Thai', 'SimplifiedChinese', 'TraditionalChinese', 'Japanese', 'Korean']"
622460,Steampunk Tower 2,4.0,"['English', 'Russian', 'German', 'Spanish-Spain']"
883130,New Star Manager,8.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Portuguese-Brazil', 'Russian', 'Turkish']"
351490,Intergalactic Bubbles,10.0,"['English', 'French', 'German', 'Spanish-Spain', 'Arabic', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'SimplifiedChinese']"
378360,Ymir,2.0,"['English', 'French']"
646100,Woodlands,1.0,['English']
634120,Inmates,7.0,"['English', 'Russian', 'French', 'Italian', 'German', 'Spanish-Spain', 'SimplifiedChinese']"
316260,Disney Universe,13.0,"['English', 'French', 'Italian', 'German', 'Spanish-Spain', 'Czech', 'Danish', 'Dutch', 'Norwegian', 'Polish', 'Portuguese-Brazil', 'Russian', 'Swedish']"
437530,A Blind Legend,2.0,"['English', 'French']"
311120,The Stalin Subway: Red Veil,2.0,"['English', 'Russian']"
410670,Suits: A Business RPG,1.0,['English']
